frames,dates,mjd,telem_status,expstarts,expstops,airmasses,frieds,tau0,theta0,dimms,dimmtimes,masses,masstimes,masswts0,masswts500,masswts1000,masswts2000,masswts4000,masswts8000,masswts16000,windspds,winddirs,temps,skystrehls,maosstrehls-psd+ncpa-unseen,maos_stds_strehls-psd+ncpa-unseen,skyfwhms,skyempfwhms,maosfwhms-psd+ncpa-unseen,maosempfwhms-psd+ncpa-unseen,maos_stds_fwhms-psd+ncpa-unseen,maos_stds_emp_fwhms-psd+ncpa-unseen,lbwfsfwhms,skyrmswfes,maosrmswfes-psd+ncpa-unseen,maos_stds_rmswfes-psd+ncpa-unseen,lgsrmswfes,totmaoswfe-psd+ncpa-unseen,homaoswfe-psd+ncpa-unseen,ttmaoswfe-psd+ncpa-unseen,DM_fitting_errors
c0120,20100815,55423.31508,False,07:33:43.032,07:34:26.142,1.58257,0.3871431748022424,0.026239703532535408,1.7787334363915999,0.26,7:33:8,0.21,7:32:38,0.3065631328877225,2.5774243998101953e-08,5.291945842163486e-11,1.0213729669460613e-10,0.012064539743792402,0.5031461461331603,0.17822615530602412,1.5433333333333334,129.0,2.5516,0.212944895029068,nan,nan,56.03600036682082,56.14814735467271,nan,nan,nan,nan,0.938657,420.516433742146,nan,nan,124.6,nan,nan,nan,602.3622485892957
c0122,20100815,55423.31624,False,07:35:22.783,07:36:05.908,1.58649,0.3871431748022424,0.028682694949290533,1.6466176232045382,0.26,7:33:8,0.25,7:38:11,0.09790022595175815,3.6330716273920296e-09,3.098393161473957e-10,3.33145813379722e-08,1.1968571814012233e-06,0.7595176156887489,0.14258092424481927,1.5433333333333334,129.0,2.5578,0.24681490659713745,nan,nan,55.18587515091354,53.85541101182941,nan,nan,nan,nan,0.961245,399.9482743003918,nan,nan,114.9,nan,nan,nan,602.3622485892957
c0123,20100815,55423.31695,False,07:36:24.268,07:37:07.095,1.58896,0.27204655526644067,0.027570531717230316,1.6420861711800299,0.37,7:38:42,0.25,7:38:11,0.4989582134880422,2.01787069577191e-09,1.720901046205478e-10,1.8503493549908462e-08,6.647551386448594e-07,0.42184919451231634,0.07919190655104855,1.028888888888889,130.0,2.556,0.23177479207515717,nan,nan,56.53243403834156,58.350866381494306,nan,nan,nan,nan,0.941616,408.8358243637796,nan,nan,149.7,nan,nan,nan,808.2543659823355
c0124,20100815,55423.31752,False,07:37:13.618,07:37:56.758,1.59099,0.27204655526644067,0.027570531717230316,1.638735141960411,0.37,7:38:42,0.25,7:38:11,0.4989582134880422,2.01787069577191e-09,1.720901046205478e-10,1.8503493549908462e-08,6.647551386448594e-07,0.42184919451231634,0.07919190655104855,1.028888888888889,127.0,2.5608,0.24185548722743988,nan,nan,55.17975689917714,58.350866381494306,nan,nan,nan,nan,0.976184,402.8390318965408,nan,nan,195.4,nan,nan,nan,808.2543659823355
c0008,20100815,55423.24293,False,05:49:49.016,05:50:32.269,1.55171,0.2054229090787409,0.022970557472659293,2.528450533288397,0.49,5:50:21,0.16,6:10:19,0.8544610580491557,0.05435360878743433,0.012348758487671483,2.63185895181261e-09,0.009726435256698775,0.002360090907875438,0.06675004587930532,0.5144444444444445,119.0,2.7794,0.23511143028736115,nan,nan,55.26265645271813,58.350866381494306,nan,nan,nan,nan,0.975762,406.8323825834034,nan,nan,210.9,nan,nan,nan,1021.4333240981092
c0113,20100815,55423.31094,False,07:27:45.336,07:28:28.293,1.56953,0.3355240848286102,0.02422319427035564,2.5512868918103546,0.3,7:28:38,0.12,7:28:9,0.7875624230446141,2.2789284860407914e-10,3.812614955319428e-07,1.8253029106203496e-08,0.06512767189964916,0.006901589111753866,0.14040791620156534,2.057777777777778,123.0,2.5717,0.22228853404521942,nan,nan,56.693942752324155,58.350866381494306,nan,nan,nan,nan,0.955617,414.63779152368403,nan,nan,200.4,nan,nan,nan,678.6528357228245
c0114,20100815,55423.31152,False,07:28:34.996,07:29:18.232,1.57125,0.3355240848286102,0.027217250898680097,2.2650852683019864,0.3,7:28:38,0.15,7:29:38,0.704062054502743,4.611860016774492e-10,6.285954402254694e-09,9.623342564276517e-10,1.252870636875506e-06,0.1674094385480202,0.1285272463691252,1.5433333333333334,125.0,2.5547,0.2400030940771103,nan,nan,54.9943024487508,58.350866381494306,nan,nan,nan,nan,0.93579,403.9286012567193,nan,nan,136.3,nan,nan,nan,678.6528357228245
c0115,20100815,55423.31209,False,07:29:24.895,07:30:08.315,1.57301,0.3470938808571829,0.027417138252049222,2.2611188037504575,0.29,7:30:8,0.15,7:29:38,0.686859373719943,4.879944447617663e-10,6.651352853661547e-09,1.0182741224419997e-09,1.3256991942005832e-06,0.17714084060438828,0.13599845181885292,1.5433333333333334,125.0,2.5489,0.2139219045639038,nan,nan,59.48596023368832,60.47340542403716,nan,nan,nan,nan,0.93601,419.8937142494654,nan,nan,156.2,nan,nan,nan,659.7483115467845
c0116,20100815,55423.31267,False,07:30:14.887,07:30:58.342,1.5748,0.3470938808571829,0.026048066419404454,2.035945820100362,0.29,7:30:8,0.17,7:31:8,0.6001754086101216,3.0171085109392585e-09,4.731374710336564e-10,5.67993534066974e-07,0.003257105778854881,0.24685433271321205,0.14971258141403138,1.5433333333333334,126.0,2.5554,0.23964667320251465,nan,nan,58.66986596118778,58.350866381494306,nan,nan,nan,nan,0.965011,404.1388548080074,nan,nan,142.7,nan,nan,nan,659.7483115467845
c0117,20100815,55423.31336,False,07:31:14.065,07:31:56.851,1.57695,0.35949009088779654,0.026221670452013835,2.0315708014205667,0.28,7:31:38,0.17,7:31:8,0.5760941145043339,3.19882789230206e-09,5.016343740200957e-10,6.022035842705014e-07,0.003453280111007905,0.26172228209744125,0.15872971738317038,1.5433333333333334,129.0,2.5503,0.20600946247577667,nan,nan,57.355632419786694,59.421613790989255,nan,nan,nan,nan,0.965034,424.99368637058654,nan,nan,154.8,nan,nan,nan,640.7348044061122
