frames,dates,mjd,telem_status,expstarts,expstops,airmasses,frieds,tau0,theta0,dimms,dimmtimes,masses,masstimes,masswts0,masswts500,masswts1000,masswts2000,masswts4000,masswts8000,masswts16000,windspds,winddirs,temps,skystrehls,maosstrehls-piston,maosstrehls-psd+ncpa-seen,maosstrehls-psd+ncpa-unseen,maos_stds_strehls-piston,maos_stds_strehls-psd+ncpa-seen,maos_stds_strehls-psd+ncpa-unseen,skyfwhms,skyempfwhms,maosfwhms-piston,maosfwhms-psd+ncpa-seen,maosfwhms-psd+ncpa-unseen,maosempfwhms-piston,maosempfwhms-psd+ncpa-seen,maosempfwhms-psd+ncpa-unseen,maos_stds_fwhms-piston,maos_stds_fwhms-psd+ncpa-seen,maos_stds_fwhms-psd+ncpa-unseen,maos_stds_emp_fwhms-piston,maos_stds_emp_fwhms-psd+ncpa-seen,maos_stds_emp_fwhms-psd+ncpa-unseen,lbwfsfwhms,skyrmswfes,maosrmswfes-piston,maosrmswfes-psd+ncpa-seen,maosrmswfes-psd+ncpa-unseen,maos_stds_rmswfes-piston,maos_stds_rmswfes-psd+ncpa-seen,maos_stds_rmswfes-psd+ncpa-unseen,lgsrmswfes,totmaoswfe-piston,totmaoswfe-psd+ncpa-seen,totmaoswfe-psd+ncpa-unseen,homaoswfe-piston,homaoswfe-psd+ncpa-seen,homaoswfe-psd+ncpa-unseen,ttmaoswfe-piston,ttmaoswfe-psd+ncpa-seen,ttmaoswfe-psd+ncpa-unseen,DM_fitting_errors
c0120,20100815,55423.31508,False,07:33:43.032,07:34:26.142,1.58257,0.3887298271579893,0.026257211259910148,1.7787379856882466,0.26,7:33:8,0.21,7:32:38,0.3018200744557453,2.5950537978305402e-08,5.328142372141428e-11,1.0283590847785917e-10,0.012147060330270612,0.5065876296828766,0.17944520942445225,1.5433333333333334,129.0,2.5516,0.21296024322509766,nan,nan,nan,nan,nan,nan,56.11144726435164,56.14814735467271,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.938657,420.50664576698586,nan,nan,nan,nan,nan,nan,124.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,600.3126994068359
c0122,20100815,55423.31624,False,07:35:22.783,07:36:05.908,1.58649,0.3887298271579893,0.02870489672261192,1.6466213507895318,0.26,7:33:8,0.25,7:38:11,0.09172992820338148,3.6579215767292184e-09,3.119585948455862e-10,3.3542450684724535e-08,1.205043598673437e-06,0.7647126617011273,0.1435561675395618,1.5433333333333334,129.0,2.5578,0.2468326836824417,nan,nan,nan,nan,nan,nan,54.54255377353904,53.85541101182941,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.961245,399.93796590703283,nan,nan,nan,nan,nan,nan,114.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,600.3126994068359
c0123,20100815,55423.31695,False,07:36:24.268,07:37:07.095,1.58896,0.2731615001650736,0.027588830386826007,1.6420928610763923,0.37,7:38:42,0.25,7:38:11,0.4955311236071927,2.0316727865924875e-09,1.7326718859241592e-10,1.8630056118565078e-08,6.693020161114119e-07,0.42473461274424085,0.07973357351155423,1.028888888888889,130.0,2.556,0.23179148137569427,nan,nan,nan,nan,nan,nan,57.218779827977656,58.350866381494306,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.941616,408.825756735311,nan,nan,nan,nan,nan,nan,149.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,805.5042648946622
c0124,20100815,55423.31752,False,07:37:13.618,07:37:56.758,1.59099,0.2731615001650736,0.027588830386826007,1.638741818204604,0.37,7:38:42,0.25,7:38:11,0.4955311236071927,2.0316727865924875e-09,1.7326718859241592e-10,1.8630056118565078e-08,6.693020161114119e-07,0.42473461274424085,0.07973357351155423,1.028888888888889,127.0,2.5608,0.2418729066848755,nan,nan,nan,nan,nan,nan,55.27970106467928,58.350866381494306,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.976184,402.8288143943166,nan,nan,nan,nan,nan,nan,195.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,805.5042648946622
c0008,20100815,55423.24293,False,05:49:49.016,05:50:32.269,1.55171,0.20626480624709637,0.022976211902733273,2.5284822409721626,0.49,5:50:21,0.16,6:10:19,0.8534655821254777,0.05472538357284661,0.012433223109971291,2.649860678264152e-09,0.009792963376193604,0.002376233760399918,0.06720661140525022,0.5144444444444445,119.0,2.7794,0.23512835800647736,nan,nan,nan,nan,nan,nan,57.07205787911368,58.350866381494306,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.975762,406.8222653757747,nan,nan,nan,nan,nan,nan,210.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,1017.9578774889544
c0113,20100815,55423.31094,False,07:27:45.336,07:28:28.293,1.56953,0.3368991835369241,0.024252217201251307,2.5513016717603554,0.3,7:28:38,0.12,7:28:9,0.7861093652560327,2.2945161934215675e-10,3.838692968141296e-07,1.837787851603057e-08,0.06557314050394338,0.0069487954862387765,0.1413682962771582,2.057777777777778,123.0,2.5717,0.2223045378923416,nan,nan,nan,nan,nan,nan,56.25351402840292,58.350866381494306,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.955617,414.6278647734938,nan,nan,nan,nan,nan,nan,200.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,676.3437063444692
c0114,20100815,55423.31152,False,07:28:34.996,07:29:18.232,1.57125,0.3368991835369241,0.027241758761707677,2.265096061285382,0.3,7:28:38,0.15,7:29:38,0.7020378601826773,4.6434048084881954e-10,6.328949879485082e-09,9.68916553714984e-10,1.2614401821654115e-06,0.1685545070996886,0.1294063635152448,1.5433333333333334,125.0,2.5547,0.24002037942409515,nan,nan,nan,nan,nan,nan,54.58902365746992,58.350866381494306,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.93579,403.9183944452187,nan,nan,nan,nan,nan,nan,136.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,676.3437063444692
c0115,20100815,55423.31209,False,07:29:24.895,07:30:08.315,1.57301,0.3485163967623353,0.02744075490721281,2.2611289865996853,0.29,7:30:8,0.15,7:29:38,0.6847175142972427,4.913322917609086e-10,6.6968476300901355e-09,1.0252390444003969e-09,1.3347668815987212e-06,0.178352471248105,0.13692867147435156,1.5433333333333334,125.0,2.5489,0.21393731236457825,nan,nan,nan,nan,nan,nan,56.9177490711007,60.47340542403716,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.93601,419.8839117580005,nan,nan,nan,nan,nan,nan,156.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,657.5035051769852
c0116,20100815,55423.31267,False,07:30:14.887,07:30:58.342,1.5748,0.3485163967623353,0.02606866575511316,2.0359535415751013,0.29,7:30:8,0.17,7:31:8,0.5974406370837664,3.0377453167419176e-09,4.763736973981643e-10,5.718785690987625e-07,0.003279384148755479,0.24854279864252055,0.1507366047322694,1.5433333333333334,126.0,2.5554,0.23966394364833832,nan,nan,nan,nan,nan,nan,59.153309596923975,58.350866381494306,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.965011,404.12867016894046,nan,nan,nan,nan,nan,nan,142.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,657.5035051769852
c0117,20100815,55423.31336,False,07:31:14.065,07:31:56.851,1.57695,0.3609634109324187,0.026241445840947168,2.03157806898495,0.28,7:31:38,0.17,7:31:8,0.5731946286536062,3.2207076456388124e-09,5.050655171569955e-10,6.063226135918522e-07,0.003476900299269172,0.26351244373408467,0.1598154172646532,1.5433333333333334,129.0,2.5503,0.20602430403232574,nan,nan,nan,nan,nan,nan,56.868569619052444,59.421613790989255,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.965034,424.9840015128206,nan,nan,nan,nan,nan,nan,154.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,638.5546918615103
